"Project","Status","ExitCode","DurationSeconds","Output"
"ChatCompletionAgentWithContextualFunctionProvider\12.07 ChatCompletionAgentWithContextualFunctionProvider.csproj","TimedOut",,"12,2","trce: Plugins.Native.SensorsPlugin[0]
      Created KernelFunction 'read_temperature' for 'ReadTemperature'
trce: Plugins.Native.SensorsPlugin[0]
      Created KernelFunction 'read_infrared_radiation' for 'ReadInfraredRadiation'
trce: Plugins.Native.SensorsPlugin[0]
      Created KernelFunction 'read_humidity' for 'ReadHumidity'
trce: Plugins.Native.SensorsPlugin[0]
      Created KernelFunction 'read_droplet_level' for 'ReadDropletLevel'
trce: Plugins.Native.SensorsPlugin[0]
      Created KernelFunction 'read_wind_speed' for 'ReadWindSpeed'
trce: Plugins.Native.SensorsPlugin[0]
      Created KernelFunction 'read_wind_direction' for 'ReadWindDirection'
trce: Plugins.Native.SensorsPlugin[0]
      Created plugin SensorsPlugin with 6 [KernelFunction] methods out of 12 methods found.
trce: Plugins.Native.MaintenancePlugin[0]
      Created KernelFunction 'calibrate_sensors' for 'CalibrateSensors'
trce: Plugins.Native.MaintenancePlugin[0]
      Created KernelFunction 'check_motors' for 'CheckMotors'
trce: Plugins.Native.MaintenancePlugin[0]
      Created KernelFunction 'check_tire_pressure' for 'CheckTirePressure'
trce: Plugins.Native.MaintenancePlugin[0]
      Created KernelFunction 'clean_solar_panels' for 'CleanSolarPanels'
trce: Plugins.Native.MaintenancePlugin[0]
      Created KernelFunction 'check_battery_health' for 'CheckBatteryHealth'
trce: Plugins.Native.MaintenancePlugin[0]
      Created KernelFunction 'update_firmware' for 'UpdateFirmware'
trce: Plugins.Native.MaintenancePlugin[0]
      Created plugin MaintenancePlugin with 6 [KernelFunction] methods out of 12 methods found.
trce: Plugins.Native.FireDetectorPlugin[0]
      Created KernelFunction 'capture_camera_feed' for 'CaptureCameraFeed'
trce: Plugins.Native.FireDetectorPlugin[0]
      Created KernelFunction 'sound_alarm' for 'SoundAlarm'
trce: Plugins.Native.FireDetectorPlugin[0]
      Created KernelFunction 'start_water_sprinkle' for 'StartWaterSprinkle'
trce: Plugins.Native.FireDetectorPlugin[0]
      Created KernelFunction 'stop_water_sprinkle' for 'StopWaterSprinkle'
trce: Plugins.Native.FireDetectorPlugin[0]
      Created plugin FireDetectorPlugin with 4 [KernelFunction] methods out of 10 methods found.
trce: Plugins.Native.RainDetectorPlugin[0]
      Created KernelFunction 'start_wipers' for 'StartWipers'
trce: Plugins.Native.RainDetectorPlugin[0]
      Created KernelFunction 'stop_wipers' for 'StopWipers'
trce: Plugins.Native.RainDetectorPlugin[0]
      Created plugin RainDetectorPlugin with 2 [KernelFunction] methods out of 8 methods found."
"ChatCompletionAgentWithOllama\12.09 ChatCompletionAgentWithOllama.csproj","TimedOut",,"12,2","trce: Plugins.Native.MotorsPlugin[0]
      Created KernelFunction 'backward' for 'Backward'
trce: Plugins.Native.MotorsPlugin[0]
      Created KernelFunction 'forward' for 'Forward'
trce: Plugins.Native.MotorsPlugin[0]
      Created KernelFunction 'stop' for 'Stop'
trce: Plugins.Native.MotorsPlugin[0]
      Created KernelFunction 'turn_left' for 'TurnLeft'
trce: Plugins.Native.MotorsPlugin[0]
      Created KernelFunction 'turn_right' for 'TurnRight'
trce: Plugins.Native.MotorsPlugin[0]
      Created plugin MotorsPlugin with 5 [KernelFunction] methods out of 11 methods found.
RESPONSE: 
dbug: Microsoft.SemanticKernel.Agents.ChatCompletionAgent[0]
      [InvokeAsync] Agent c4511d09-d220-407c-a7e1-ce14ade8468f/RobotCarAgent Invoking service Microsoft.SemanticKernel.ChatCompletion.ChatClientChatCompletionService."
"ChatCompletionAgentWithThreads\12.06 ChatCompletionAgentWithThreads.csproj","TimedOut",,"12,2","User > Assistant >"
"ChatCompletionWithVisionAndPhi3\ChatCompletionWithVisionAndPhi35 (unfinished).csproj","Failed","1","5,5","C:\Program Files\dotnet\sdk\10.0.302\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets(266,5): error NETSDK1004: Assets file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatCompletionWithVisionAndPhi3\obj\project.assets.json' not found. Run a NuGet package restore to generate this file. [C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatCompletionWithVisionAndPhi3\ChatCompletionWithVisionAndPhi35 (unfinished).csproj]

The build failed. Fix the build errors and run again."
"ChatCompletionAgentWithWhiteboardProvider\12.06b ChatCompletionAgentWithWhiteboardProvider.csproj","TimedOut",,"12,2",""
"CopilotWithSemanticFunction\2.2 CopilotWithSemanticFunction.csproj","Failed","1","5,9","C:\Program Files\dotnet\sdk\10.0.302\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets(266,5): error NETSDK1004: Assets file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\CopilotWithSemanticFunction\obj\project.assets.json' not found. Run a NuGet package restore to generate this file. [C:\Users\danie\source\repos\Apex.SemanticKernelInAction\CopilotWithSemanticFunction\2.2 CopilotWithSemanticFunction.csproj]

The build failed. Fix the build errors and run again."
"Copilot\2.7 Copilot.csproj","TimedOut",,"12,3",""
"Dashboard\Dashboard.csproj","TimedOut",,"12,2","X.509 certificate chain validation will use the default trust store selected by .NET for code signing.
X.509 certificate chain validation will use the default trust store selected by .NET for timestamping.
Restoring packages for C:\Users\danie\AppData\Local\Temp\NuGetScratch\fc382e1facaf464ea6f9187589eccf65\4083999ad1e74ae699a97d8b7b3d988b.proj...
  GET https://api.nuget.org/v3-flatcontainer/aspire.apphost.sdk/index.json
  OK https://api.nuget.org/v3-flatcontainer/aspire.apphost.sdk/index.json 139ms
  GET https://api.nuget.org/v3-flatcontainer/aspire.apphost.sdk/9.0.0/aspire.apphost.sdk.9.0.0.nupkg
  OK https://api.nuget.org/v3-flatcontainer/aspire.apphost.sdk/9.0.0/aspire.apphost.sdk.9.0.0.nupkg 23ms
Installed Aspire.AppHost.Sdk 9.0.0 from https://api.nuget.org/v3/index.json to C:\Users\danie\.nuget\packages\aspire.apphost.sdk\9.0.0 with content hash 6NRU9/xY+dK/0qrMR1wBpFje7rENO+l08TwfLZ9u50SgqlndxBFxXZh9ECBgB38TGZtRo2goslylbsAao1ku+w==.
  GET https://api.nuget.org/v3/vulnerabilities/index.json
  OK https://api.nuget.org/v3/vulnerabilities/index.json 17ms
  GET https://api.nuget.org/v3-vulnerabilities/2026.07.16.05.27.22/vulnerability.base.json
  GET https://api.nuget.org/v3-vulnerabilities/2026.07.16.05.27.22/2026.07.20.17.27.45/vulnerability.update.json
  OK https://api.nuget.org/v3-vulnerabilities/2026.07.16.05.27.22/vulnerability.base.json 28ms
  OK https://api.nuget.org/v3-vulnerabilities/2026.07.16.05.27.22/2026.07.20.17.27.45/vulnerability.update.json 87ms
Using launch settings from C:\Users\danie\source\repos\Apex.SemanticKernelInAction\Dashboard\Properties\launchSettings.json...
Building..."
"FiltersWithAutoFunctionInvocationFilter\9.12 FiltersWithAutoFunctionInvocationFilter.csproj","TimedOut",,"12,2",""
"FiltersWithPromptRenderFilter\9.10 FiltersWithPromptRenderFilter.csproj","TimedOut",,"12,2",""
"FiltersWithFunctionInvocationFilter\9.7 FiltersWithFunctionInvocationFilter.csproj","TimedOut",,"12,2",""
"FiltersArchitecture\9.2 FiltersArchitecture.csproj","TimedOut",,"12,3",""
"FunctionCallingWithAutoInvoke\8.5 FunctionCallingWithAutoInvoke.csproj","TimedOut",,"12,2",""
"FirstSample\1.1 FirstSample.csproj","TimedOut",,"12,2",""
"FiltersWithTelemetry\9.13 FiltersWithTelemetry.csproj","TimedOut",,"12,3",""
"FunctionCallingWithBehavior\8.4 FunctionCallingWithBehavior.csproj","TimedOut",,"12,7",""
"FunctionCallingWithBehaviorOptions\8.6 FunctionCallingWithBehaviorOptions.csproj","TimedOut",,"12,2",""
"FunctionCallingWithNoneBehavior\7.7 FunctionCallingWithBehaviorNone.csproj","Failed","1","4,4","C:\Program Files\dotnet\sdk\10.0.302\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets(266,5): error NETSDK1004: Assets file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\FunctionCallingWithNoneBehavior\obj\project.assets.json' not found. Run a NuGet package restore to generate this file. [C:\Users\danie\source\repos\Apex.SemanticKernelInAction\FunctionCallingWithNoneBehavior\7.7 FunctionCallingWithBehaviorNone.csproj]

The build failed. Fix the build errors and run again."
"KernelWithFunction\3.4 KernelWithFunction.csproj","Failed","1","4,5","C:\Program Files\dotnet\sdk\10.0.302\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets(266,5): error NETSDK1004: Assets file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\KernelWithFunction\obj\project.assets.json' not found. Run a NuGet package restore to generate this file. [C:\Users\danie\source\repos\Apex.SemanticKernelInAction\KernelWithFunction\3.4 KernelWithFunction.csproj]

The build failed. Fix the build errors and run again."
"FunctionCallingWithExplicitCalling\7.3 FunctionCallingWithExplicitCalling.csproj","TimedOut",,"12,2",""
"KernelWithFunctionChaining\3.4c KernelWithFunctionChaining.csproj","Failed","1","6,1","C:\Program Files\dotnet\sdk\10.0.302\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets(266,5): error NETSDK1004: Assets file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\KernelWithFunctionChaining\obj\project.assets.json' not found. Run a NuGet package restore to generate this file. [C:\Users\danie\source\repos\Apex.SemanticKernelInAction\KernelWithFunctionChaining\3.4c KernelWithFunctionChaining.csproj]

The build failed. Fix the build errors and run again."
"FunctionCallingWithSubset\7.5-6 FunctionCallingWithBehaviorRequired.csproj","Failed","1","8,5","C:\Program Files\dotnet\sdk\10.0.302\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets(266,5): error NETSDK1004: Assets file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\FunctionCallingWithSubset\obj\project.assets.json' not found. Run a NuGet package restore to generate this file. [C:\Users\danie\source\repos\Apex.SemanticKernelInAction\FunctionCallingWithSubset\7.5-6 FunctionCallingWithBehaviorRequired.csproj]

The build failed. Fix the build errors and run again."
"FunctionCallingWithMultiplePlugins\8.99 FunctionCallingWithMultiplePlugins.csproj","TimedOut",,"12,2",""
"HuggingFaceWithChatCompletion\11.10 HuggingFaceWithChatCompletion.csproj","TimedOut",,"12,2",""
"Kernel\3.1a Kernel.csproj","TimedOut",,"12,2",""
"KernelWithAIServiceSelector\3.4a KernelWithAIServiceSelector.csproj","TimedOut",,"12,2","info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_d5cbc81ae1b3452abac89845ff6ea4cd invoking.
trce: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_d5cbc81ae1b3452abac89845ff6ea4cd arguments: {}
'AZURE' AI service FOUND!
trce: Microsoft.SemanticKernel.KernelFunctionFactory[0]
      Rendered prompt: You are an AI assistant controlling a robot car capable of performing basic moves: forward, backward, turn left, turn right, and stop.
      You have to break down the provided complex commands into basic moves you know.
      Respond only with the permitted moves, without any additional explanations.
      
      There is a tree directly in front of the car. Avoid it and then come back to the original path.
trce: Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService[0]
      ChatHistory: [{""Role"":{""Label"":""user""},""Items"":[{""$type"":""TextContent"",""Text"":""You are an AI assistant controlling a robot car capable of performing basic moves: forward, backward, turn left, turn right, and stop.\r\nYou have to break down the provided complex commands into basic moves you know.\r\nRespond only with the permitted moves, without any additional explanations.\r\n\r\nThere is a tree directly in front of the car. Avoid it and then come back to the original path.""}]}], Settings: {""service_id"":null,""model_id"":null,""function_choice_behavior"":null}"
"KernelWithExecutionSettings\4.3b KernelWithExecutionSettings.csproj","TimedOut",,"12,3","info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_0588324b513b46df907592c3265c99aa invoking.
trce: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_0588324b513b46df907592c3265c99aa arguments: {}
trce: Microsoft.SemanticKernel.KernelFunctionFactory[0]
      Rendered prompt: Choose a random basic movement.
      Respond only with the movement name alone.
trce: Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService[0]
      ChatHistory: [{""Role"":{""Label"":""user""},""Items"":[{""$type"":""TextContent"",""Text"":""Choose a random basic movement.\r\nRespond only with the movement name alone.""}]}], Settings: {""service_id"":null,""model_id"":null,""function_choice_behavior"":null}"
"KernelWithHandlebarsPromptTemplate\4.5c KernelWithHandlebarsPromptTemplate.csproj","TimedOut",,"12,5","ync(KernelFunction function, KernelArguments arguments, FunctionResult functionResult, Boolean isStreaming, Func`2 functionCallback, CancellationToken cancellationToken)
         at Microsoft.SemanticKernel.KernelFunction.InvokeAsync(Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)
info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_66d593159de541b6b2cea148b9fcb8bb completed. Duration: 1.6460635s
Unhandled exception. System.NotSupportedException: Argument 'robot_car' has a value that doesn't support automatic encoding. Set AllowDangerouslySetContent to 'true' for this argument and implement custom encoding, or provide the value as a string.
   at Microsoft.SemanticKernel.PromptTemplates.Handlebars.HandlebarsPromptTemplate.GetEncodedValueOrDefault(PromptTemplateConfig promptTemplateConfig, String propertyName, Object propertyValue)
   at Microsoft.SemanticKernel.PromptTemplates.Handlebars.HandlebarsPromptTemplate.GetVariables(KernelArguments arguments)
   at Microsoft.SemanticKernel.PromptTemplates.Handlebars.HandlebarsPromptTemplate.RenderAsync(Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunctionFromPrompt.<>c__DisplayClass22_0.<<RenderPromptAsync>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Kernel.InvokeFilterOrPromptRenderAsync(NonNullCollection`1 promptFilters, Func`2 renderCallback, PromptRenderContext context, Int32 index)
   at Microsoft.SemanticKernel.Kernel.OnPromptRenderAsync(KernelFunction function, KernelArguments arguments, Boolean isStreaming, PromptExecutionSettings executionSettings, Func`2 renderCallback, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunctionFromPrompt.RenderPromptAsync(Kernel kernel, KernelArguments arguments, Boolean isStreaming, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunctionFromPrompt.InvokeCoreAsync(Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunction.<>c__DisplayClass32_0.<<InvokeAsync>b__0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Kernel.InvokeFilterOrFunctionAsync(NonNullCollection`1 functionFilters, Func`2 functionCallback, FunctionInvocationContext context, Int32 index)
   at Microsoft.SemanticKernel.Kernel.OnFunctionInvocationAsync(KernelFunction function, KernelArguments arguments, FunctionResult functionResult, Boolean isStreaming, Func`2 functionCallback, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunction.InvokeAsync(Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\KernelWithHandlebarsPromptTemplate\Program.cs:line 87
   at Program.<Main>(String[] args)"
"KernelWithKernelArguments\4.3a KernelWithKernelArguments.csproj","TimedOut",,"12,3","info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_b915727df7374967b0aefc483cbe3762 invoking.
trce: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_b915727df7374967b0aefc483cbe3762 arguments: {
        ""input"": ""There is a tree directly in front of the car. Avoid it and then come back to the original path."",
        ""movements"": ""forward, backward, turn left, turn right, and stop""
      }
trce: Microsoft.SemanticKernel.KernelFunctionFactory[0]
      Rendered prompt: You are an AI assistant controlling a robot car capable of performing basic moves: forward, backward, turn left, turn right, and stop.
      You have to break down the provided complex commands into basic moves you know.
      Respond only with the permitted moves, without any additional explanations.
      
      There is a tree directly in front of the car. Avoid it and then come back to the original path."
"KernelWithLiquidPromptTemplate\4.5b KernelWithLiquidPromptTemplate.csproj","TimedOut",,"12,3",""
"KernelWithJsonResponse\3.1b KernelWithJsonResponse.csproj","TimedOut",,"12,7","info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_695f7399fe574b45afe2ac0386d8c833 invoking."
"KernelWithMessages\4.2a KernelWithMessages.csproj","TimedOut",,"12,2",""
"KernelWithMultipleServices\3.1c KernelWithMultipleServices.csproj","TimedOut",,"12,4","info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_9677756dc9af469b8944d4cb00195dde invoking.
trce: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_9677756dc9af469b8944d4cb00195dde arguments: {}"
"KernelWithNativeFunctions\5.1a KernelWithNativeFunctions.csproj","TimedOut",,"12,2","[51:56] CALIBRATING sensors...
DELEGATED METHOD RESPONSE: All sensors have been calibrated.

[51:56] SENSOR READING: Temperature: 18 Celsius degrees.
REFLECTED METHOD RESPONSE: 18"
"KernelWithPromptTemplate\4.5a KernelWithPromptTemplate.csproj","TimedOut",,"12,7",""
"KernelWithSemanticFunctions\5.1b KernelWithSemanticFunctions.csproj","TimedOut",,"12,5",""
"KernelWithSemanticFunctionsFromPromptTemplateConfig\5.1c KernelWithSemanticFunctionsFromPromptTemplateConfig.csproj","TimedOut",,"12,5",""
"KernelWithPromptyFunction\4.5d KernelWithPromptyFunction.csproj","TimedOut",,"12,6",""
"KernelWithSemanticFunctionsFromPrompt\5.1d KernelWithSemanticFunctionsFromPrompt.csproj","TimedOut",,"12,5",""
"KernelWithSemanticFunctionsFromYaml\5.1e KernelWithSemanticFunctionsFromYaml.csproj","TimedOut",,"12,3",""
"LLamaSharpWithKernelAndTextGeneration\11.01 LLamaSharpWithKernelAndTextGeneration.csproj","TimedOut",,"12,3",""
"LLamaSharpWithKernelAndChatCompletion\11.02 LLamaSharpWithKernelAndChatCompletion.csproj","TimedOut",,"12,4",""
"KernelWithStreaming\3.1d KernelWithStreaming.csproj","TimedOut",,"12,5","STREAMING USING PROMPT TEMPLATE
info: InvokePromptStreamingAsync_974cb0683ee841539d3998d0b77312ed[0]
      Function (null)-InvokePromptStreamingAsync_974cb0683ee841539d3998d0b77312ed streaming."
"McpClientSample\16.02 McpClientSample.csproj","TimedOut",,"12,3",""
"McpServerSample\16.01 McpServerSample.csproj","TimedOut",,"12,2","Using launch settings from C:\Users\danie\source\repos\Apex.SemanticKernelInAction\McpServerSample\Properties\launchSettings.json..."
"MistralWithChatCompletion\11.12 MistralWithChatCompletion.csproj","TimedOut",,"12,1",""
"OllamaSharpWithResponseFormat\11.2 OllamaSharpWithResponseFormat.csproj","Failed","1","4,8","C:\Program Files\dotnet\sdk\10.0.302\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets(266,5): error NETSDK1004: Assets file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\OllamaSharpWithResponseFormat\obj\project.assets.json' not found. Run a NuGet package restore to generate this file. [C:\Users\danie\source\repos\Apex.SemanticKernelInAction\OllamaSharpWithResponseFormat\11.2 OllamaSharpWithResponseFormat.csproj]

The build failed. Fix the build errors and run again."
"OllamaSharpWithChatCompletion\11.05d OllamaSharpWithChatCompletion.csproj","TimedOut",,"12,7",""
"OllamaSharpWithChatRequest\11.05b OllamaSharpWithChatRequest.csproj","TimedOut",,"12,2","=== Ollama Client with Chat ===
RESPONSE: Unhandled exception. System.Net.Http.HttpRequestException: Response status code does not indicate success: 404 (Not Found).
   at System.Net.Http.HttpResponseMessage.EnsureSuccessStatusCode()
   at OllamaSharp.OllamaApiClient.EnsureSuccessStatusCodeAsync(HttpResponseMessage response)
   at OllamaSharp.OllamaApiClient.SendToOllamaAsync(HttpRequestMessage requestMessage, OllamaRequest ollamaRequest, HttpCompletionOption completionOption, CancellationToken cancellationToken)
   at OllamaSharp.OllamaApiClient.ChatAsync(ChatRequest request, CancellationToken cancellationToken)+MoveNext()
   at OllamaSharp.OllamaApiClient.ChatAsync(ChatRequest request, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\OllamaSharpWithChatRequest\Program.cs:line 42
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\OllamaSharpWithChatRequest\Program.cs:line 42
   at Program.<Main>(String[] args)"
"OllamaSharpWithChatRequestAndTools\11.05c OllamaSharpWithChatRequestAndTools.csproj","TimedOut",,"12,3","=== Ollama Client with Chat ===
RESPONSE: Unhandled exception. System.Net.Http.HttpRequestException: Response status code does not indicate success: 404 (Not Found).
   at System.Net.Http.HttpResponseMessage.EnsureSuccessStatusCode()
   at OllamaSharp.OllamaApiClient.EnsureSuccessStatusCodeAsync(HttpResponseMessage response)
   at OllamaSharp.OllamaApiClient.SendToOllamaAsync(HttpRequestMessage requestMessage, OllamaRequest ollamaRequest, HttpCompletionOption completionOption, CancellationToken cancellationToken)
   at OllamaSharp.OllamaApiClient.ChatAsync(ChatRequest request, CancellationToken cancellationToken)+MoveNext()
   at OllamaSharp.OllamaApiClient.ChatAsync(ChatRequest request, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at OllamaSharp.Chat.SendAsAsync(ChatRole role, String message, IEnumerable`1 tools, IEnumerable`1 imagesAsBase64, Object format, CancellationToken cancellationToken)+MoveNext()
   at OllamaSharp.Chat.SendAsAsync(ChatRole role, String message, IEnumerable`1 tools, IEnumerable`1 imagesAsBase64, Object format, CancellationToken cancellationToken)+MoveNext()
   at OllamaSharp.Chat.SendAsAsync(ChatRole role, String message, IEnumerable`1 tools, IEnumerable`1 imagesAsBase64, Object format, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\OllamaSharpWithChatRequestAndTools\Program.cs:line 20
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\OllamaSharpWithChatRequestAndTools\Program.cs:line 20
   at Program.<Main>(String[] args)"
"OllamaSharpWithGenerateRequest\11.05a OllamaSharpWithGenerateRequest.csproj","TimedOut",,"12,5",""
"OllamaSharpWithKernelAndChatCompletion\11.06 OllamaSharpWithKernelAndChatCompletion.csproj","TimedOut",,"12,2","=== Chat Service with Chat History ==="
"OllamaSharpWithKernelAndTextGeneration\11.05 OllamaSharpWithKernelAndTextGeneration.csproj","TimedOut",,"12,2","ken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Connectors.Ollama.OllamaTextGenerationService.GetStreamingTextContentsAsync(String prompt, PromptExecutionSettings executionSettings, Kernel kernel, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Connectors.Ollama.OllamaTextGenerationService.GetStreamingTextContentsAsync(String prompt, PromptExecutionSettings executionSettings, Kernel kernel, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.TextGeneration.TextGenerationExtensions.GetStreamingTextContentsWithDefaultParserAsync(ITextGenerationService textGenerationService, String prompt, PromptExecutionSettings executionSettings, Kernel kernel, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.TextGeneration.TextGenerationExtensions.GetStreamingTextContentsWithDefaultParserAsync(ITextGenerationService textGenerationService, String prompt, PromptExecutionSettings executionSettings, Kernel kernel, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.TextGeneration.TextGenerationExtensions.GetStreamingTextContentsWithDefaultParserAsync(ITextGenerationService textGenerationService, String prompt, PromptExecutionSettings executionSettings, Kernel kernel, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.KernelFunctionFromPrompt.InvokeStreamingCoreAsync[TResult](Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.KernelFunctionFromPrompt.InvokeStreamingCoreAsync[TResult](Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.KernelFunctionFromPrompt.InvokeStreamingCoreAsync[TResult](Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.KernelFunction.InvokeStreamingAsync[TResult](Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.KernelFunction.InvokeStreamingAsync[TResult](Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.KernelFunction.InvokeStreamingAsync[TResult](Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\OllamaSharpWithKernelAndTextGeneration\Program.cs:line 44
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\OllamaSharpWithKernelAndTextGeneration\Program.cs:line 44
   at Program.<Main>(String[] args)"
