"Project","Status","ExitCode","DurationSeconds","Detail"
"ChatCompletionAgentSimple\12.02 ChatCompletionAgentSimple.csproj","Passed","0","4,4","RESPONSE: 
turn right
forward
turn left
forward
turn left
forward
turn right"
"ChatCompletionAgentWithContextualFunctionProvider\12.07 ChatCompletionAgentWithContextualFunctionProvider.csproj","Failed","-532462766","10,2","gin_turn_right, Score: 0,7334805727005005"", ""Function: MotorsPlugin_forward, Score: 0,7330905199050903"", ""Function: MotorsPlugin_turn_left, Score: 0,7329961657524109"", ""Function: MotorsPlugin_stop, Score: 0,7256228923797607""

Unhandled exception. System.InvalidOperationException: AIContextProviders with AIFunctions are not supported when Agent UseImmutableKernel setting is false.
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatCompletionAgentWithContextualFunctionProvider\Program.cs:line 70
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatCompletionAgentWithContextualFunctionProvider\Program.cs:line 70
   at Program.<Main>(String[] args)"
"ChatCompletionAgentWithHistoryAndReducer\12.06a ChatCompletionAgentWithHistoryAndReducer.csproj","Passed","0","2,8","User >"
"ChatCompletionAgentWithOllama\12.09 ChatCompletionAgentWithOllama.csproj","Failed","-532462766","7,4",", ChatHistory history, Func`2 onNewToolMessage, KernelArguments arguments, Kernel kernel, String additionalInstructions, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+MoveNext()
   at Microsoft.SemanticKernel.Agents.ChatCompletionAgent.InvokeAsync(ICollection`1 messages, AgentThread thread, AgentInvokeOptions options, CancellationToken cancellationToken)+System.Threading.Tasks.Sources.IValueTaskSource<System.Boolean>.GetResult()
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatCompletionAgentWithOllama\Program.cs:line 75
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatCompletionAgentWithOllama\Program.cs:line 75
   at Program.<Main>(String[] args)"
"ChatCompletionAgentWithTextSearchProvider\12.08 ChatCompletionAgentWithTextSearchProvider.csproj","Passed","0","5,8","RESPONSE:
*** The average temperature on **June 2, 2025** is **17┬░C**.

Calculation: \( (15 + 22 + 14) / 3 = 17 \)┬░C"
"ChatCompletionAgentWithThreads\12.06 ChatCompletionAgentWithThreads.csproj","Passed","0","1,9","User > CHAT HISTORY:"
"ChatCompletionAgentWithWhiteboardProvider\12.06b ChatCompletionAgentWithWhiteboardProvider.csproj","TimedOut",,"30,1","atural satellite reflecting sunlight at night.
Whiteboard contents:
  ACTION - RobotCarAgent provided the definition of water as ""Colorless liquid H2O essential for life."" in 6 words, satisfying the user's requirement for fewer than 10 words.
  ACTION - RobotCarAgent provided the definition of fire as ""Rapid combustion producing heat, light, and flames."" in 7 words, satisfying the user's requirement for fewer than 10 words.
  ACTION - RobotCarAgent provided the definition of earth as ""Planet we live on; also soil or ground."" in 8 words, satisfying the user's requirement for fewer than 10 words.
  ACTION - RobotCarAgent provided the definition of air as ""Invisible gas mixture we breathe and surrounds Earth."" in 8 words, satisfying the user's requirement for fewer than 10 words.
  ACTION - RobotCarAgent provided the definition of sun as ""Star at the center of our solar system."" in 8 words, satisfying the user's requirement for fewer than 10 words.
  ACTION - RobotCarAgent provided the definition of moon as ""EarthΓÇÖs natural satellite reflecting sunlight at night."" in 6 words, satisfying the user's requirement for fewer than 10 words.

*** A person; a member of Homo sapiens."
"Copilot\2.7 Copilot.csproj","Passed","0","2,9","User >>>"
"FiltersArchitecture\9.2 FiltersArchitecture.csproj","Passed","0","7,2","FirstFunctionFilter.invoking forward
  SecondFunctionFilter invoking forward
  ThirdFunctionFilter invoking forward
[01:32:53:405] MOTORS: Forward: 100m
  ThirdFunctionFilter invoked forward
  SecondFunctionFilter invoked forward
  FirstFunctionFilter invoked forward
RESPONSE: forward 100"
"FiltersWithAutoFunctionInvocationFilter\9.12 FiltersWithAutoFunctionInvocationFilter.csproj","Passed","0","25,6","Request #0 invoking turn_right.
Request sequence index: 0
Function sequence index: 0
Total number of functions: 1
[01:33:00:889] MOTORS: TurnRight: 90┬░
  Request #1 invoking forward.
Request sequence index: 1
Function sequence index: 0
Total number of functions: 1
[01:33:03:887] MOTORS: Forward: 1m
  Request #2 invoking turn_left.
Request sequence index: 2
Function sequence index: 0
Total number of functions: 1
[01:33:06:724] MOTORS: TurnLeft: 90┬░
  Request #3 invoking forward.
Request sequence index: 3
Function sequence index: 0
Total number of functions: 1
[01:33:09:575] MOTORS: Forward: 1m
  Request #4 invoking turn_left.
Request sequence index: 4
Function sequence index: 0
Total number of functions: 1
[01:33:12:555] MOTORS: TurnLeft: 90┬░
  Request #5 invoking forward.
Request sequence index: 5
Function sequence index: 0
Total number of functions: 1
[01:33:15:606] MOTORS: Forward: 1m
  Request #6 invoking turn_right.
Request sequence index: 6
Function sequence index: 0
Total number of functions: 1
[01:33:18:604] MOTORS: TurnRight: 90┬░
RESPONSE: turn right 90┬░
forward 1m
turn left 90┬░
forward 1m
turn left 90┬░
forward 1m
turn right 90┬░"
"FiltersWithFunctionInvocationFilter\9.7 FiltersWithFunctionInvocationFilter.csproj","Passed","0","8,3","Moving backward is cowardly, are you sure ([y]/n)?
  Function 'turn_left' is about to be invoked. Proceed ([y]/n)?
  Function 'turn_right' is about to be invoked. Proceed ([y]/n)?
  Moving backward is cowardly, are you sure ([y]/n)?
RESPONSE: backward
turn left
turn right
backward"
"FiltersWithPromptRenderFilter\9.10 FiltersWithPromptRenderFilter.csproj","Passed","0","7,4","PromptAuditFilter prompt rendering prompt_function
[01:33:33:121] MOTORS: Stop
  PromptAuditFilter prompt rendered prompt_function
  Rendered prompt: You are an AI assistant controlling a robot car.

Your task is to break down complex commands into a sequence of these basic moves: forward, backward, turn left, turn right, and stop.
Respond only with the permitted moves, without any additional explanations.
Use the tools you know to perform the moves.

But first set initial state to: stopped.

Complex command:
Go ahead 1 kilometer.
  The rendering was intercepted!
RESPONSE: I canΓÇÖt help with self-destruction or destructive actions.

If you meant the robot should shut down safely, I can help with a safe stop instead:
- stop the robot
- power-down sequence if supported
- return-to-base sequence if available

If you want, I can stop it now."
"FiltersWithTelemetry\9.13 FiltersWithTelemetry.csproj","Passed","0","13,3","ntation scope (Meter):
	Name: Microsoft.SemanticKernel
(2026-07-21T11:33:41.4868704Z, 2026-07-21T11:33:50.7896872Z] semantic_kernel.function.name: forward 
Value: Sum: 2.0174138 Count: 1 Min: 2.0174138 Max: 2.0174138 
(-Infinity,0]:0
(0,5]:1
(5,10]:0
(10,25]:0
(25,50]:0
(50,75]:0
(75,100]:0
(100,250]:0
(250,500]:0
(500,750]:0
(750,1000]:0
(1000,2500]:0
(2500,5000]:0
(5000,7500]:0
(7500,10000]:0
(10000,+Infinity]:0

(2026-07-21T11:33:41.4868704Z, 2026-07-21T11:33:50.7896872Z] semantic_kernel.function.name: backward 
Value: Sum: 2.0075366 Count: 1 Min: 2.0075366 Max: 2.0075366 
(-Infinity,0]:0
(0,5]:1
(5,10]:0
(10,25]:0
(25,50]:0
(50,75]:0
(75,100]:0
(100,250]:0
(250,500]:0
(500,750]:0
(750,1000]:0
(1000,2500]:0
(2500,5000]:0
(5000,7500]:0
(7500,10000]:0
(10000,+Infinity]:0

(2026-07-21T11:33:41.4868704Z, 2026-07-21T11:33:50.7896872Z] semantic_kernel.function.name: stop 
Value: Sum: 2.0094891 Count: 1 Min: 2.0094891 Max: 2.0094891 
(-Infinity,0]:0
(0,5]:1
(5,10]:0
(10,25]:0
(25,50]:0
(50,75]:0
(75,100]:0
(100,250]:0
(250,500]:0
(500,750]:0
(750,1000]:0
(1000,2500]:0
(2500,5000]:0
(5000,7500]:0
(7500,10000]:0
(10000,+Infinity]:0"
"FirstSample\1.1 FirstSample.csproj","Passed","0","3,3","[""turn right"", ""forward"", ""turn left"", ""forward"", ""turn left"", ""backward"", ""turn right""]"
"FunctionCallingWithAutoInvoke\8.5 FunctionCallingWithAutoInvoke.csproj","Passed","0","27,7","UNC RESP: turned clockwise 90┬░.
-------http request---------------------
[01:34:00:805] MOTORS: Forward: 1m
FUNC CALL: forward [distance, 1], FUNC RESP: moved forward for 1 meters.
-------http request---------------------
[01:34:04:058] MOTORS: TurnLeft: 90┬░
FUNC CALL: turn_left [angle, 90], FUNC RESP: turned anticlockwise 90┬░.
-------http request---------------------
[01:34:06:992] MOTORS: Forward: 1m
FUNC CALL: forward [distance, 1], FUNC RESP: moved forward for 1 meters.
-------http request---------------------
[01:34:09:792] MOTORS: TurnLeft: 90┬░
FUNC CALL: turn_left [angle, 90], FUNC RESP: turned anticlockwise 90┬░.
-------http request---------------------
[01:34:12:605] MOTORS: Forward: 1m
FUNC CALL: forward [distance, 1], FUNC RESP: moved forward for 1 meters.
-------http request---------------------
[01:34:15:442] MOTORS: TurnRight: 90┬░
FUNC CALL: turn_right [angle, 90], FUNC RESP: turned clockwise 90┬░.
-------http request---------------------
[01:34:18:692] MOTORS: Stop
FUNC CALL: stop , FUNC RESP: stopped.
-------http request---------------------
RESPONSE: turn_right 90
forward 1
turn_left 90
forward 1
turn_left 90
forward 1
turn_right 90
stop"
"FunctionCallingWithBehavior\8.4 FunctionCallingWithBehavior.csproj","Passed","0","3,8","RESPONSE: Ready to control the robot car.  
Tell me the move you want, like:

- forward 2
- backward 1
- turn left 90
- turn right 45
- stop"
"FunctionCallingWithBehaviorOptions\8.6 FunctionCallingWithBehaviorOptions.csproj","Passed","0","17,6","[01:34:29:385] MOTORS: TurnRight: 45┬░
[01:34:32:438] MOTORS: Forward: 1m
[01:34:35:308] MOTORS: TurnLeft: 45┬░
[01:34:37:983] MOTORS: Forward: 1m
[01:34:40:658] MOTORS: Stop
RESPONSE (total time: 16,159083 seconds): turn_right 45
forward 1
turn_left 45
forward 1
stop
FUNC CALL [call_RlhFP:asst_yKONl]: MotorsPlugin-turn_right {""angle"":45}
FUNC RESP [call_RlhFP]: turned clockwise 45┬░.
FUNC CALL [call_SdOmz:asst_R9Lm6]: MotorsPlugin-forward {""distance"":1}
FUNC RESP [call_SdOmz]: moved forward for 1 meters.
FUNC CALL [call_DLhQd:asst_uaevj]: MotorsPlugin-turn_left {""angle"":45}
FUNC RESP [call_DLhQd]: turned anticlockwise 45┬░.
FUNC CALL [call_JabUC:asst_4T4uU]: MotorsPlugin-forward {""distance"":1}
FUNC RESP [call_JabUC]: moved forward for 1 meters.
FUNC CALL [call_kikUv:asst_43vj2]: MotorsPlugin-stop {}
FUNC RESP [call_kikUv]: stopped."
"FunctionCallingWithExplicitCalling\7.3 FunctionCallingWithExplicitCalling.csproj","Passed","0","23,4","OTORS: Backward: 30m
[01:35:03:772] MOTORS: Stop
RESPONSE: forward 100
backward 10
stop
forward 200
backward 20
stop
forward 300
backward 30
stop
FUNC CALL [call_toXOZ:asst_lEvhY]: MotorsPlugin-forward {""distance"": 100}
FUNC CALL [call_MniRc:asst_lEvhY]: MotorsPlugin-backward {""distance"": 10}
FUNC CALL [call_gYJQj:asst_lEvhY]: MotorsPlugin-stop {}
FUNC CALL [call_rWZ5B:asst_lEvhY]: MotorsPlugin-forward {""distance"": 200}
FUNC CALL [call_HATAx:asst_lEvhY]: MotorsPlugin-backward {""distance"": 20}
FUNC CALL [call_wq6tQ:asst_lEvhY]: MotorsPlugin-stop {}
FUNC CALL [call_tsyNx:asst_lEvhY]: MotorsPlugin-forward {""distance"": 300}
FUNC CALL [call_mV5WP:asst_lEvhY]: MotorsPlugin-backward {""distance"": 30}
FUNC CALL [call_UyWHr:asst_lEvhY]: MotorsPlugin-stop {}
FUNC RESP [call_toXOZ]: moved forward for 100 meters.
FUNC RESP [call_MniRc]: moved backward for 10 meters.
FUNC RESP [call_gYJQj]: stopped.
FUNC RESP [call_rWZ5B]: moved forward for 200 meters.
FUNC RESP [call_HATAx]: moved backward for 20 meters.
FUNC RESP [call_wq6tQ]: stopped.
FUNC RESP [call_tsyNx]: moved forward for 300 meters.
FUNC RESP [call_mV5WP]: moved backward for 30 meters.
FUNC RESP [call_UyWHr]: stopped."
"FunctionCallingWithMultiplePlugins\8.99 FunctionCallingWithMultiplePlugins.csproj","Passed","0","12,7","[01:35:10:598] MOTORS: TurnRight: 45┬░
[01:35:12:617] MOTORS: Forward: 1m
[01:35:14:627] MOTORS: TurnLeft: 45┬░
[01:35:16:636] MOTORS: Forward: 1m
RESPONSE (total time: 11,1645359 seconds): turn right forward turn left forward"
"Helper\Helpers.csproj","NotRunnable",,"0","OutputType="
"HuggingFaceWithChatCompletion\11.10 HuggingFaceWithChatCompletion.csproj","Failed","-532462766","6,2","tp.HttpClientExtensions.SendWithSuccessCheckAsync(HttpClient client, HttpRequestMessage request, HttpCompletionOption completionOption, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Http.HttpClientExtensions.SendWithSuccessCheckAsync(HttpClient client, HttpRequestMessage request, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Connectors.HuggingFace.Core.HuggingFaceClient.SendRequestAndGetStringBodyAsync(HttpRequestMessage httpRequestMessage, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Connectors.HuggingFace.Core.HuggingFaceMessageApiClient.CompleteChatMessageAsync(ChatHistory chatHistory, PromptExecutionSettings executionSettings, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.ChatCompletion.ChatCompletionServiceExtensions.GetChatMessageContentAsync(IChatCompletionService chatCompletionService, ChatHistory chatHistory, PromptExecutionSettings executionSettings, Kernel kernel, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\HuggingFaceWithChatCompletion\Program.cs:line 66
   at Program.<Main>(String[] args)"
"Kernel\3.1a Kernel.csproj","Passed","0","3,7","]
      Sending HTTP request POST https://psy-8059-resource.services.ai.azure.com/openai/deployments/gpt-5.4-mini/chat/completions?*
info: System.Net.Http.HttpClient.Default.ClientHandler[101]
      Received HTTP response headers after 1120.3585ms - 200
info: System.Net.Http.HttpClient.Default.LogicalHandler[101]
      End processing HTTP request after 1141.9088ms - 200
info: Microsoft.SemanticKernel.Connectors.AzureOpenAI.AzureOpenAIChatCompletionService[0]
      Prompt tokens: 83. Completion tokens: 21. Total tokens: 104.
info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_30917f21766e427d8dce099a3c5672bb succeeded.
info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_30917f21766e427d8dce099a3c5672bb completed. Duration: 1.3748185s
dbug: Program[0]
      turn left
forward
turn right
forward
turn right
forward
turn left
RESPONSE
  Model id: gpt-5.4-mini
  Role: Assistant
  Content: turn left
forward
turn right
forward
turn right
forward
turn left
METADATA
  Created at: 21/07/2026 11:35:29 +00:00
  System fingerprint: 
  Finish reason: Stop
  Total token count: 104 (input: 83, output: 21)"
"KernelWithAIServiceSelector\3.4a KernelWithAIServiceSelector.csproj","Passed","0","3,4","ChatHistory: [{""Role"":{""Label"":""user""},""Items"":[{""$type"":""TextContent"",""Text"":""You are an AI assistant controlling a robot car capable of performing basic moves: forward, backward, turn left, turn right, and stop.\r\nYou have to break down the provided complex commands into basic moves you know.\r\nRespond only with the permitted moves, without any additional explanations.\r\n\r\nThere is a tree directly in front of the car. Avoid it and then come back to the original path.""}]}], Settings: {""service_id"":null,""model_id"":null,""function_choice_behavior"":null}
info: Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService[0]
      Prompt tokens: 83. Completion tokens: 20. Total tokens: 103.
info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_2a8d8565fe5f492ab84aeb7033e371fd succeeded.
trce: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_2a8d8565fe5f492ab84aeb7033e371fd result: turn right
forward
turn left
forward
turn left
forward
turn right
info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_2a8d8565fe5f492ab84aeb7033e371fd completed. Duration: 2.0649225s"
"KernelWithExecutionSettings\4.3b KernelWithExecutionSettings.csproj","Failed","-532462766","6,9","ompt.GetChatCompletionResultAsync(IChatCompletionService chatCompletion, Kernel kernel, PromptRenderingResult promptRenderingResult, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunctionFromPrompt.InvokeCoreAsync(Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunction.<>c__DisplayClass32_0.<<InvokeAsync>b__0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Kernel.InvokeFilterOrFunctionAsync(NonNullCollection`1 functionFilters, Func`2 functionCallback, FunctionInvocationContext context, Int32 index)
   at Microsoft.SemanticKernel.Kernel.OnFunctionInvocationAsync(KernelFunction function, KernelArguments arguments, FunctionResult functionResult, Boolean isStreaming, Func`2 functionCallback, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunction.InvokeAsync(Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\KernelWithExecutionSettings\Program.cs:line 34
   at Program.<Main>(String[] args)"
"KernelWithHandlebarsPromptTemplate\4.5c KernelWithHandlebarsPromptTemplate.csproj","Failed","-532462766","6,2","soft.SemanticKernel.KernelFunctionFromPrompt.RenderPromptAsync(Kernel kernel, KernelArguments arguments, Boolean isStreaming, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunctionFromPrompt.InvokeCoreAsync(Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunction.<>c__DisplayClass32_0.<<InvokeAsync>b__0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Kernel.InvokeFilterOrFunctionAsync(NonNullCollection`1 functionFilters, Func`2 functionCallback, FunctionInvocationContext context, Int32 index)
   at Microsoft.SemanticKernel.Kernel.OnFunctionInvocationAsync(KernelFunction function, KernelArguments arguments, FunctionResult functionResult, Boolean isStreaming, Func`2 functionCallback, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunction.InvokeAsync(Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\KernelWithHandlebarsPromptTemplate\Program.cs:line 87
   at Program.<Main>(String[] args)"
"KernelWithJsonResponse\3.1b KernelWithJsonResponse.csproj","Passed","0","3,3","info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_cc88813ee7804a59b5571f4cbe32f03e invoking.
info: Microsoft.SemanticKernel.Connectors.AzureOpenAI.AzureOpenAIChatCompletionService[0]
      Prompt tokens: 121. Completion tokens: 32. Total tokens: 153.
info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_cc88813ee7804a59b5571f4cbe32f03e succeeded.
info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_cc88813ee7804a59b5571f4cbe32f03e completed. Duration: 2.1039291s
dbug: Program[0]
      RESPONSE: {""Steps"":[""turn left"",""forward"",""turn right"",""forward"",""turn right"",""forward"",""turn left"",""stop""]}
Steps: 
  turn left
  forward
  turn right
  forward
  turn right
  forward
  turn left
  stop"
"KernelWithKernelArguments\4.3a KernelWithKernelArguments.csproj","Passed","0","3,5","car. Avoid it and then come back to the original path.""}]}], Settings: null
info: Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService[0]
      Prompt tokens: 83. Completion tokens: 20. Total tokens: 103.
info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_8a9116923805450f8c5198ea62a8ea05 succeeded.
trce: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_8a9116923805450f8c5198ea62a8ea05 result: turn right
forward
turn left
forward
turn left
forward
turn right
info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_8a9116923805450f8c5198ea62a8ea05 completed. Duration: 2.1390049s
RENDERED PROMPT: You are an AI assistant controlling a robot car capable of performing basic moves: forward, backward, turn left, turn right, and stop.
You have to break down the provided complex commands into basic moves you know.
Respond only with the permitted moves, without any additional explanations.

There is a tree directly in front of the car. Avoid it and then come back to the original path.
RESPONSE: turn right
forward
turn left
forward
turn left
forward
turn right"
"KernelWithLiquidPromptTemplate\4.5b KernelWithLiquidPromptTemplate.csproj","Failed","-532462766","6,1","Unhandled exception. System.NotSupportedException: Argument 'robot_car' has a value that doesn't support automatic encoding. Set AllowDangerouslySetContent to 'true' for this argument and implement custom encoding, or provide the value as a string.
   at Microsoft.SemanticKernel.PromptTemplates.Liquid.LiquidPromptTemplate.GetEncodedValueOrDefault(PromptTemplateConfig promptTemplateConfig, String propertyName, Object propertyValue)
   at Microsoft.SemanticKernel.PromptTemplates.Liquid.LiquidPromptTemplate.GetTemplateContext(KernelArguments arguments)
   at Microsoft.SemanticKernel.PromptTemplates.Liquid.LiquidPromptTemplate.RenderAsync(Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\KernelWithLiquidPromptTemplate\Program.cs:line 71
   at Program.<Main>(String[] args)"
"KernelWithMessages\4.2a KernelWithMessages.csproj","Passed","0","3,7"," basic moves you know.\r\nRespond only with the permitted moves, without any additional explanations.""}]},{""Role"":{""Label"":""user""},""Items"":[{""$type"":""TextContent"",""Text"":""Go 5 steps forward.""}]},{""Role"":{""Label"":""assistant""},""Items"":[{""$type"":""TextContent"",""Text"":""forward, forward, forward, forward, forward""}]},{""Role"":{""Label"":""user""},""Items"":[{""$type"":""TextContent"",""Text"":""What do you see in the image? If you see craters or big rocks, go back to the very first position.""}]}], Settings: null
info: Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService[0]
      Prompt tokens: 115. Completion tokens: 4. Total tokens: 119.
Chat history: 
ROLE: system, You are an AI assistant controlling a robot car capable of performing basic moves: forward, backward, turn left, turn right, and stop.
You have to break down the provided complex commands into basic moves you know.
Respond only with the permitted moves, without any additional explanations.
ROLE: user, Go 5 steps forward.
ROLE: assistant, forward, forward, forward, forward, forward
ROLE: user, What do you see in the image? If you see craters or big rocks, go back to the very first position.
ROLE: Assistant, stop"
"KernelWithMultipleServices\3.1c KernelWithMultipleServices.csproj","Passed","0","3,5","""Text"":""You are an AI assistant controlling a robot car capable of performing basic moves: forward, backward, turn left, turn right, and stop.\r\nYou have to break down the provided complex commands into basic moves you know.\r\nRespond only with the permitted moves, without any additional explanations.\r\n\r\nThere is a tree directly in front of the car. Avoid it and then come back to the original path.""}]}], Settings: {""service_id"":""OPENAI"",""model_id"":null,""function_choice_behavior"":null}
info: Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService[0]
      Prompt tokens: 83. Completion tokens: 20. Total tokens: 103.
info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_6cc9da541a794ebeaa9e2ddae3ded58f succeeded.
trce: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_6cc9da541a794ebeaa9e2ddae3ded58f result: turn right
forward
turn left
forward
turn left
forward
turn right
info: Microsoft.SemanticKernel.KernelFunction[0]
      Function (null)-InvokePromptAsync_6cc9da541a794ebeaa9e2ddae3ded58f completed. Duration: 2.1653185s
turn right
forward
turn left
forward
turn left
forward
turn right"
"KernelWithNativeFunctions\5.1a KernelWithNativeFunctions.csproj","Passed","0","1,2","[36:07] CALIBRATING sensors...
DELEGATED METHOD RESPONSE: All sensors have been calibrated.

[36:07] SENSOR READING: Temperature: 76 Celsius degrees.
REFLECTED METHOD RESPONSE: 76"
"KernelWithPromptTemplate\4.5a KernelWithPromptTemplate.csproj","Passed","0","3,6","trce: Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService[0]
      ChatHistory: [{""Role"":{""Label"":""system""},""Items"":[{""$type"":""TextContent"",""Text"":""You are an AI assistant controlling a robot car capable of performing basic moves: .\r\nYou have to break down the provided complex commands into basic moves you know.\r\nRespond only with the permitted moves, without any additional explanations.""}]},{""Role"":{""Label"":""user""},""Items"":[{""$type"":""TextContent"",""Text"":""There is a tree directly in front of the car. Avoid it and then come back to the original path.""}]}], Settings: null
info: Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService[0]
      Prompt tokens: 76. Completion tokens: 23. Total tokens: 99.
turn right
move forward
turn left
move forward
turn left
move forward
turn right"
"KernelWithPromptyFunction\4.5d KernelWithPromptyFunction.csproj","Failed","-532462766","6,7"," at Microsoft.SemanticKernel.KernelFunctionFromPrompt.RenderPromptAsync(Kernel kernel, KernelArguments arguments, Boolean isStreaming, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunctionFromPrompt.InvokeCoreAsync(Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunction.<>c__DisplayClass32_0.<<InvokeAsync>b__0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Kernel.InvokeFilterOrFunctionAsync(NonNullCollection`1 functionFilters, Func`2 functionCallback, FunctionInvocationContext context, Int32 index)
   at Microsoft.SemanticKernel.Kernel.OnFunctionInvocationAsync(KernelFunction function, KernelArguments arguments, FunctionResult functionResult, Boolean isStreaming, Func`2 functionCallback, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.KernelFunction.InvokeAsync(Kernel kernel, KernelArguments arguments, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\KernelWithPromptyFunction\Program.cs:line 78
   at Program.<Main>(String[] args)"
"KernelWithSemanticFunctions\5.1b KernelWithSemanticFunctions.csproj","Passed","0","4,2","SEMANTIC FUNCTION:
  Name: breaks_down_complex_command
  Description: 'Breaks down a complex command to basic moves.'
  Input variable: 
    basic_moves : String required ''
    input : String required ''
  Output variable:   ''
RENDERED PROMPT: Your task is to break down complex commands into a sequence for basic moves such as forward, backward, turn left, turn right, and stop.
You have to break down the provided complex commands into basic moves you know.
Respond only with the permitted moves, without any additional explanations.

Complex command:
There is a tree directly in front of the car. Avoid it and then come back to the original path.
PROMPT RESPONSE: turn left
forward
turn right
forward
stop"
